sortOrder,spanish,englishPrimary,englishVariantsJson,pos,frequencyCount
20133,enea,cattail,"[""cattail""]",n,634
20134,farnsworth,,[],none,634
20135,gucci,,[],none,634
20136,hadley,,[],none,634
20137,inalterable,"inalterable, unchangeable","[""inalterable, unchangeable""]",adj,634
20138,lánguido,languid,"[""languid""]",adj,634
20139,masar,to knead,"[""to knead""]",v,634
20140,moroso,defaulter,"[""defaulting, delinquent"", ""defaulter""]",adj,634
20141,negociante,shopkeeper,"[""shopkeeper"", ""businessman"", ""negotiator""]",n,634
20142,polarización,polarization,"[""polarization""]",n,634
20143,querian,,[],none,634
20144,rygel,,[],none,634
20145,sanador,healing,"[""healing"", ""healer""]",n,634
20146,serpa,,[],none,634
20147,verídico,"true, truthful, veracious","[""true, truthful, veracious""]",adj,634
20148,GT,"A @abbrev of:Guanajuato state, Mexico","[""A @abbrev of:Guanajuato state, Mexico""]",prop,633
20149,Matos,surname,"[""surname""]",prop,633
20150,Rothschild,surname,"[""surname""]",prop,633
20151,aditivo,additive,"[""additive""]",n,633
20152,campista,camper,"[""camper""]",n,633
20153,chuchería,trifle,"[""trifle"", ""sweets, candy"", ""junk food""]",n,633
20154,entrecruzar,"to crisscross, cross","[""to interweave, to crisscross, cross over"", ""to crisscross, cross""]",v,633
20155,griterío,"clamor, uproar","[""clamor, uproar""]",n,633
20156,hawkeye,,[],none,633
20157,hindi,Hindi,"[""Hindi""]",n,633
20158,identificable,identifiable,"[""identifiable""]",adj,633
20159,jodi,,[],none,633
20160,merodeador,"prowling, marauding","[""prowling, marauding"", ""prowler, marauder""]",n,633
20161,puntapié,kick,"[""kick""]",n,633
20162,reiteración,reiteration,"[""reiteration""]",n,633
20163,supermodelo,supermodel,"[""supermodel""]",n,633
20164,sáb,,[],none,633
20165,taggart,,[],none,633
20167,Jalisco,"A state, Mexico","[""A state, Mexico""]",prop,632
20168,Paquito,given name,"[""given name""]",prop,632
20169,addic7ed,,[],none,632
20170,epifanía,epiphany,"[""epiphany""]",n,632
20171,f.b.i.,,[],none,632
20172,friedman,,[],none,632
20173,raíl,rail,"[""rail""]",n,632
20174,rs,,[],none,632
20175,rubalcaba,,[],none,632
20176,sagaz,markedly clairvoyant,"[""sagacious, prudent, visionary"", ""acute"", ""proficient at dragging prey"", ""markedly clairvoyant""]",adj,632
20177,samuels,,[],none,632
20178,sasuke,,[],none,632
20179,seccionar,to section,"[""to section""]",v,632
20180,tipificar,"to classify, typify, categorize","[""to classify, typify, categorize""]",v,632
20181,voight,,[],none,632
20182,Ahumada,surname,"[""surname""]",prop,631
20183,boga,rowing,"[""any of species Leporinus obtusidens of ray-finned fish"", ""rowing"", ""rower"", ""vogue""]",n,631
20184,carole,,[],none,631
20185,etienne,,[],none,631
20186,evaporación,evaporation,"[""evaporation""]",n,631
20187,fín,,[],none,631
20188,instauración,establishment,"[""establishment""]",n,631
20190,lung,,[],none,631
20191,repliegue,"fold, crease","[""fold, crease"", ""withdrawal, retreat""]",n,631
20192,sacerdocio,priesthood,"[""priesthood""]",n,631
20193,zurrar,"to thrash, thwack","[""to thrash, thwack"", ""to reprimand harshly"", ""to soil oneself"", ""to fart noiselessly""]",v,631
20194,CGPJ,"initialism of ""w:Consejo General del Poder Judicial","[""initialism of \""w:Consejo General del Poder Judicial""]",prop,630
20196,calabacín,courgette,"[""courgette""]",n,630
20197,ciberespacio,cyberspace,"[""cyberspace""]",n,630
20198,ensañar,to irritate,"[""to irritate"", ""to enjoy causing pain or discomfort""]",v,630
20199,faber,,[],none,630
20200,freudiano,Freudian,"[""Freudian""]",adj,630
20201,gordinflón,chubby,"[""chubby"", ""chubby, fatso""]",n,630
20202,hyungnim,,[],none,630
20203,levine,,[],none,630
20204,lija,sandpaper,"[""sandpaper"", ""dogfish""]",n,630
20205,mortalmente,"fatally, mortally","[""fatally, mortally""]",adv,630
20206,satírico,satirical,"[""satirical""]",adj,630
20207,suk,,[],none,630
20208,uh-uh,,[],none,630
20209,ABS,ABS,"[""ABS""]",n,629
20210,bego,,[],none,629
20211,denigrar,to denigrate,"[""to denigrate""]",v,629
20212,elder,,[],none,629
20213,emilie,,[],none,629
20214,esmerar,to clean,"[""to clean"", ""to hone, to painstakingly do something""]",v,629
20215,estremecimiento,spasm,"[""shudder, shuddering, flinch, trembling, shiver, quivering, quiver"", ""thrill, frisson, tingling"", ""spasm""]",n,629
20216,etanol,ethanol,"[""ethanol""]",n,629
20217,exiliar,to exile,"[""to exile""]",v,629
20218,fenton,,[],none,629
20219,hamid,,[],none,629
20220,homónimo,homonymous,"[""homonymous"", ""self-titled"", ""homonym""]",adj,629
20221,pasantía,"internship, practicum","[""internship, practicum""]",n,629
20222,personarse,"to arrive, turn up, make one's way","[""to arrive, turn up, make one's way""]",v,629
20223,salaam,,[],none,629
20224,zaga,rear,"[""rear"", ""defense, rearguard""]",n,629
20225,Nazaret,Nazareth,"[""Nazareth""]",prop,628
20226,armisticio,armistice,"[""armistice""]",n,628
20227,asociativo,associative,"[""associative""]",adj,628
20228,avidez,eagerness,"[""greed, avarice"", ""eagerness""]",n,628
20229,brook,,[],none,628
20230,buick,,[],none,628
20231,cefalea,"cephalalgia, headache, migraine","[""cephalalgia, headache, migraine""]",n,628
20232,chocolatina,six-pack,"[""small chocolate bar, candy bar"", ""six-pack""]",n,628
20233,desencadenante,"triggering, causing","[""triggering, causing"", ""trigger, cause""]",adj,628
20234,dunbar,,[],none,628
20235,erwin,,[],none,628
20236,espaciar,to range,"[""to space"", ""to range""]",v,628
20237,estropeado,spoiled,"[""broken, out of order"", ""spoiled"", ""rotten"", ""impaired"", ""ruined""]",adj,628
20238,filología,philology,"[""philology""]",n,628
20239,hélène,,[],none,628
20240,mazel,,[],none,628
20241,morcilla,morcilla,"[""morcilla""]",n,628
20242,obstinación,"obstinacy, stubbornness","[""obstinacy, stubbornness""]",n,628
20243,springer,,[],none,628
20244,suramericano,South American,"[""South American""]",adj,628
20245,telépata,telepath,"[""telepath"", ""telepathic""]",n,628
20246,amortiguador,shock absorber,"[""softening, muffling"", ""shock absorber"", ""buffer of a railway vehicle""]",n,627
20247,arreglárselas,"to cope, to make do, to get by, to get along, to manage","[""to cope, to make do, to get by, to get along, to manage""]",v,627
20248,barítono,baritone,"[""baritone""]",n,627
20249,desmantelamiento,dismantlement,"[""dismantlement""]",n,627
20250,globalmente,globally,"[""globally""]",adv,627
20251,prats,,[],none,627
20252,shan,,[],none,627
20253,Apure,"A state, Venezuela","[""A state, Venezuela""]",prop,626
20254,Belice,Belize,"[""Belize""]",prop,626
20255,Chelo,given name,"[""given name""]",prop,626
20256,RDA,"abbreviation of ""República Democrática Alemana"" : GDR","[""abbreviation of \""República Democrática Alemana\"" : GDR""]",prop,626
20257,abuchear,to boo,"[""to boo"", ""to jeer, to heckle""]",v,626
20258,atocha,esparto,"[""esparto""]",n,626
20259,cardo,thistle,"[""thistle"", ""cardoon"", ""prickly customer"", ""butt ugly person""]",n,626
20260,dehesa,meadow,"[""meadow"", ""pasture""]",n,626
20261,deng,,[],none,626
20262,desorganizado,"disorganized, untidy","[""disorganized, untidy""]",adj,626
20263,endocrino,endocrine,"[""endocrine"", ""endocrinologist""]",adj,626
20264,entrelazar,to interlace,"[""to interlace""]",v,626
20265,frac,tailcoat,"[""tailcoat""]",n,626
20266,guardiola,,[],none,626
20267,ineficacia,ineffectiveness,"[""ineffectiveness""]",n,626
20268,israelita,Israelite,"[""Israelite""]",n,626
20269,lavavajillas,dish detergent,"[""dish detergent"", ""dishwasher"", ""plural of \""lavavajilla""]",n,626
20270,lucious,,[],none,626
20271,nu,,[],none,626
20272,parloteo,chattering,"[""chattering""]",n,626
20273,quinteto,quintet,"[""quintet""]",n,626
20274,retardo,delay,"[""delay""]",n,626
20276,Mireia,given name,"[""given name""]",prop,625
20277,Somalia,Somalia,"[""Somalia""]",prop,625
20278,chándal,tracksuit,"[""tracksuit""]",n,625
20279,cognoscitivo,cognitive,"[""cognitive""]",adj,625
20280,coney,,[],none,625
20281,crawley,,[],none,625
20282,cábala,Kabbalah,"[""speculation, guess"", ""Kabbalah""]",n,625
20283,dã,,[],none,625
20284,fitzpatrick,,[],none,625
20285,franks,,[],none,625
20286,jitomate,tomato,"[""tomato""]",n,625
20287,kaufman,,[],none,625
20288,kosher,kosher,"[""kosher""]",adj,625
20289,malabares,"ellipsis of ""juegos malabares","[""ellipsis of \""juegos malabares""]",n,625
20290,relincho,neigh,"[""neigh""]",n,625
20291,woodrow,,[],none,625
20292,ELN,"initialism of ""w:es:Ejército de Liberación Nacional","[""initialism of \""w:es:Ejército de Liberación Nacional""]",prop,624
20293,Eladio,given name,"[""given name""]",prop,624
20294,Ocampo,surname,"[""surname""]",prop,624
20295,PAC,comité de acción política,"[""comité de acción política""]",n,624
20296,Teófilo,Theophilus,"[""Theophilus"", ""given name""]",prop,624
20297,balanceado,"balanced, even-keeled","[""balanced, even-keeled""]",adj,624
20298,desdoblar,to unlap ),"[""to unfold, open out"", ""to break down into constituent parts"", ""to unlap )""]",v,624
20299,desparramado,"sprawled, sprawling","[""sprawled, sprawling""]",adj,624
20300,dominico,Dominican,"[""Dominican""]",n,624
20301,espinilla,shinbone,"[""shinbone"", ""pimple, blackhead""]",n,624
20302,flotador,floating,"[""floating"", ""floater"", ""float""]",n,624
20303,individualista,individualistic,"[""individualistic"", ""feminine singular of \""individualisto"", ""individualist""]",adj,624
20304,jeta,snout,"[""snout"", ""sleep"", ""anger face"", ""insolence, impudence, crust, rind"", ""face, mush, mug, scoundrel""]",n,624
20305,kato,,[],none,624
20306,lenguado,sole,"[""sole""]",n,624
20307,perspicacia,"perspicacity, acumen","[""perspicacity, acumen""]",n,624
20308,queenie,,[],none,624
20309,rebekah,,[],none,624
20310,remington,,[],none,624
20311,sears,,[],none,624
20312,somnolencia,"drowsiness, sleepiness","[""drowsiness, sleepiness""]",n,624
20313,utilería,props,"[""props""]",n,624
20314,Arteaga,surname,"[""surname""]",prop,623
20315,Poseidón,Poseidon,"[""Poseidon""]",prop,623
20316,branson,,[],none,623
20317,congestionado,gridlocked,"[""gridlocked""]",adj,623
20318,cualificación,qualification,"[""qualification""]",n,623
20319,desdibujar,to blur,"[""to blur""]",v,623
20320,distendido,"calm, relaxed","[""calm, relaxed""]",adj,623
20321,genuinamente,genuinely,"[""genuinely""]",adv,623
20322,goran,,[],none,623
20323,mamut,mammoth,"[""mammoth""]",n,623
20324,pasito,"diminutive of ""paso","[""diminutive of \""paso"", ""nativity scene""]",n,623
20325,polea,pulley,"[""pulley""]",n,623
20326,avi,,[],none,622
20327,cardassianos,,[],none,622
20328,cilantro,"coriander, cilantro","[""coriander, cilantro""]",n,622
20329,esquiador,skier,"[""skier""]",n,622
20330,involuntariamente,involuntarily,"[""involuntarily""]",adv,622
20331,laird,,[],none,622
20332,moose,,[],none,622
20333,nero,,[],none,622
20334,palmear,to clap,"[""to clap"", ""to slap on the back""]",v,622
20335,pier,,[],none,622
20336,resquebrajar,to crack,"[""to crack""]",v,622
20337,saciedad,satiety,"[""satiety""]",n,622
20338,sancristóbal,,[],none,622
20339,tatarabuelo,great-great-grandfather,"[""great-great-grandfather"", ""great-great-grandparent""]",n,622
20340,watergate,,[],none,622
20341,Stalingrado,Stalingrad,"[""Stalingrad""]",prop,621
20342,adonis,Adonis,"[""Adonis""]",n,621
20343,beautiful,,[],none,621
20344,cheung,,[],none,621
20345,chirinos,,[],none,621
20346,coexistencia,coexistence,"[""coexistence""]",n,621
20347,corrosivo,corrosive,"[""corrosive""]",adj,621
20348,degustación,"the action of tasting, sampling","[""the action of tasting, sampling""]",n,621
20349,parlanchín,talkative,"[""talkative"", ""loquatious""]",adj,621
20350,pulsión,pulsion,"[""pulsion"", ""drive, impulse, motivation""]",n,621
20351,tobin,,[],none,621
20352,zaguán,gate protecting a front yard or patio,"[""vestibule"", ""gate protecting a front yard or patio""]",n,621
20353,Valdez,surname,"[""surname""]",prop,620
20354,astor,,[],none,620
20355,aventajar,to surpass,"[""to surpass""]",v,620
20356,cautelar,to be on guard,"[""precautionary, preventative"", ""to guard against, prevent against"", ""to be on guard""]",v,620
20357,compa,buddy,"[""buddy"", ""a revolutionary during the Nicaraguan Revolution""]",n,620
20358,cuate,twin,"[""twin"", ""buddy, friend""]",n,620
20359,en-,en-,"[""en-""]",prefix,620
20360,fogoso,ardent,"[""ardent""]",adj,620
20361,galgo,greyhound,"[""greyhound"", ""ellipsis of \""galgo inglés""]",n,620
20362,mani,protest,"[""protest""]",n,620
20363,morbo,disease,"[""disease"", ""attraction for unwholesome things"", ""morbid interest in other people or things"", ""peculiarity or deviation in sexual behaviour or taste""]",n,620
20364,sabandija,pest,"[""pest"", ""rascal, scoundrel, weasel, punk""]",n,620
20365,sand,,[],none,620
20366,sp,,[],none,620
20367,terence,,[],none,620
20368,urticaria,urticaria,"[""urticaria""]",n,620
20369,wil,,[],none,620
20370,Némesis,Nemesis,"[""Nemesis""]",prop,619
20371,acervo,heritage,"[""heritage"", ""heap, pile""]",n,619
20372,asador,"roaster, spit","[""roaster, spit"", ""restaurant specialising in roast meat""]",n,619
20373,brizar,to rock,"[""to rock""]",v,619
20374,brutus,,[],none,619
20375,desvincular,to separate from,"[""to separate from"", ""to unpair, unlink, disconnect""]",v,619
20376,esnifar,to snort through the nose),"[""to snort through the nose)""]",v,619
20377,estereotipar,to stereotype,"[""to stereotype""]",v,619
20378,extremado,extraordinary,"[""extreme"", ""extraordinary""]",adj,619
20379,fantasioso,"imaginative, fanciful","[""imaginative, fanciful"", ""unbelievable, unrealistic""]",adj,619
20380,guasón,joker,"[""dull, boring"", ""funny, joking"", ""joker""]",n,619
20381,hule,natural rubber,"[""natural rubber"", ""rubber tree""]",n,619
20382,incubadora,incubator,"[""incubator""]",n,619
20383,institute,,[],none,619
20384,ogden,,[],none,619
20385,qúe,,[],none,619
20386,trípode,tripod,"[""tripod""]",n,619
20387,wichita,,[],none,619
20388,Faustino,given name,"[""given name""]",prop,618
20389,Fontaine,surname,"[""surname""]",prop,618
20390,Valera,surname,"[""surname""]",prop,618
20391,agobio,"bother, annoyance","[""bother, annoyance""]",n,618
20392,apuntado,targeted,"[""targeted"", ""pointed, aimed"", ""written down"", ""signed up, enrolled"", ""willing""]",adj,618
20393,arrollador,"dumbfounding, amazing, overwhelming","[""dumbfounding, amazing, overwhelming""]",adj,618
20394,bluebell,,[],none,618
20395,croft,,[],none,618
20396,cántabro,Cantabrian ),"[""Cantabrian )"", ""Cantabri""]",adj,618
20397,dai,,[],none,618
20398,desagrado,"displeasure, distaste, disliking, dislike","[""displeasure, distaste, disliking, dislike""]",n,618
20399,ev,,[],none,618
20400,fantasiar,to imagine,"[""to imagine""]",v,618
20401,gardel,,[],none,618
20402,irwin,,[],none,618
20403,lenore,,[],none,618
20404,quinceañero,fifteen-year-old,"[""fifteen-year-old"", ""teen, teenager""]",n,618
20405,relicario,reliquary,"[""reliquary""]",n,618
20406,sulfúrico,sulfuric,"[""sulfuric""]",adj,618
20407,varicela,chicken pox,"[""chicken pox""]",n,618
20408,wiley,,[],none,618
20409,Matamoros,surname,"[""surname""]",prop,617
20410,acolchado,"padded, cushioned","[""padded, cushioned"", ""quilt, bed cover""]",adj,617
20411,blindaje,"armor-plating, armor, shielding","[""armor-plating, armor, shielding""]",n,617
20412,eructo,"belch, burp","[""belch, burp""]",n,617
20413,estoico,stoical,"[""stoical"", ""stoic""]",adj,617
20414,estremecedor,"shuddering, quivering","[""shocking, earthshaking, chilling, spine-chilling, thrilling, alarming"", ""shuddering, quivering""]",adj,617
20415,haran,,[],none,617
20416,insigne,"distinguished, illustrious","[""distinguished, illustrious""]",adj,617
20417,myeong,,[],none,617
20418,redundante,redundant,"[""redundant""]",adj,617
20419,sientese,,[],none,617
20420,Almudena,given name,"[""given name""]",prop,616
20421,arlington,,[],none,616
20422,c-4,,[],none,616
20423,dial,dial,"[""dial"", ""day""]",n,616
20424,doctrinal,doctrinal,"[""doctrinal""]",adj,616
20425,hancock,,[],none,616
20426,homeopatía,homeopathy,"[""homeopathy""]",n,616
20427,koch,,[],none,616
20428,maestre,Master,"[""teacher, erudite, doctor"", ""a superior in a military order"", ""Master"", ""second person in charge of a ship, after the captain, typically managing the treasury""]",n,616
20429,martirizar,to martyr,"[""to martyr""]",v,616
20430,mcgill,,[],none,616
